czone,china_exposure,working_age_25_64_cz,pop2000_cz,gpt_exposure,china_above_average_mass,gpt_above_average_mass,china_exposure_z,gpt_exposure_z,china_pctile,gpt_pctile,adult25p_1990,hs_less_1990,ba_plus_1990,hs_less_share_1990,ba_share_1990,adult25p_2024,hs_less_2024,ba_plus_2024,hs_less_share_2024,ba_share_2024
4101,0.0170101190245577,8868.0,24209,0.2949185646934002,0.0,0.0,-0.1634069447324058,-1.4314812806109247,0.5325936199722607,0.06241331484049931,15222,11533,1422,0.7576533963999474,0.09341742215214821,12831,8071,1641,0.6290234588106929,0.12789338321253216
4102,0.0179084554314459,66739.0,168122,0.3453394655763855,0.0,0.0,-0.11874564729546265,1.0545806649405105,0.5575589459084604,0.855755894590846,103165,74065,12459,0.7179275917219987,0.12076770222459167,91673,51305,17172,0.5596522422087201,0.18731796712227156
4103,0.0188343649467253,34701.0,89373,0.3142631258820815,0.0,0.0,-0.07271353733697623,-0.47767489114991263,0.5811373092926491,0.3079056865464632,60347,41762,7104,0.6920310868808723,0.11771919068056406,49416,25555,8669,0.5171401975068803,0.17542901084668933
4200,0.0180385990787807,396947.0,630854,0.3496471092256654,0.0,1381.7933656678617,-0.11227548300224205,1.266974112180261,0.5617198335644937,0.8959778085991679,349758,194835,68319,0.5570565934160191,0.1953322011219186,525286,192245,174946,0.3659815795585643,0.3330490437590189
4301,0.0407605191786235,15072.0,40542,0.3143029890076588,298.87324336233235,0.0,1.0173574965101084,-0.47570939275950397,0.8862690707350902,0.31345353675450766,27389,20865,2492,0.7618021833582825,0.0909854321077805,21842,12416,3194,0.5684461129933156,0.1462320300338797
4302,0.0319901499330119,49924.0,94324,0.3210981983110174,552.1260450191538,0.0,0.5813336790329816,-0.14066358902937737,0.8016643550624133,0.46740638002773927,52328,39150,4963,0.7481654181317842,0.09484406054120165,67617,36687,12918,0.5425706553085763,0.1910466302852833
4401,0.0087685333159051,76752.0,144931,0.3607125812366929,0.0,1116.4748529345472,-0.573141992609634,1.812570251765764,0.3300970873786408,0.957004160887656,77984,61309,6894,0.7861740869922035,0.08840274928190398,101698,59469,17509,0.5847607622568782,0.17216661094613464
4402,0.032800512349381,68403.0,116256,0.3232874731817726,811.9226444804518,0.0,0.6216213002756154,-0.032718811184814664,0.8099861303744799,0.507628294036061,58017,41841,7574,0.7211851698640054,0.13054794284433874,90836,42541,24321,0.4683275353384121,0.2677462679994716
4501,0.0074381597173021,24383.0,49887,0.3569198578977507,0.0,262.20993514300784,-0.6392822609254649,1.6255655573270174,0.2871012482662968,0.9403606102635229,28673,23327,2188,0.8135528197258746,0.07630872249154257,32848,20577,4508,0.6264308329274233,0.13723818801753532
4502,0.0002356628785356,49945.0,117919,0.3367791991241883,0.0,0.0,-0.9973584238620813,0.6325066381400584,0.03744798890429958,0.7642163661581137,76180,61755,5186,0.8106458388028354,0.06807561039642951,69033,38259,9761,0.5542132023814698,0.14139614387322005
4601,0.0859213487445051,43937.0,83451,0.3129487385320421,2855.4889120020366,0.0,3.262553423420759,-0.542482308618129,0.984743411927878,0.2884882108183079,49761,39473,3809,0.7932517433331324,0.07654588935109825,62103,33801,11587,0.5442732235157722,0.18657713798045183
4602,0.0415429468543822,68850.0,123981,0.3234398977373138,1419.1450131442841,0.0,1.0562563264829476,-0.025203338821914795,0.897364771151179,0.5104022191400832,69741,56567,5143,0.8111010739737027,0.07374428241636914,94425,53460,14553,0.5661636219221604,0.15412231930103257
4701,0.0328117371362135,32933.0,84168,0.3348404626075065,391.2742819402315,0.0,0.6221793468376255,0.5369149491347545,0.811373092926491,0.7406380027739251,47686,33449,6049,0.7014427714633226,0.12685064798892756,45609,21182,9621,0.46442588085684844,0.21094520818259554
4702,0.0463753723092698,66776.0,141711,0.3348300787925015,1699.0855018374875,0.0,1.2965030635935924,0.5364029628972711,0.926490984743412,0.739251040221914,73367,49161,10828,0.6700696498425722,0.14758678970109176,89788,37947,25200,0.4226288590903016,0.28066111284358713
4800,0.0169382447667529,50018.0,146833,0.334741875956456,0.0,0.0,-0.16698021370076374,0.5320540181076628,0.5298196948682385,0.7350901525658807,82801,56088,11513,0.6773831233922296,0.13904421444185458,67376,32963,14820,0.4892394918071717,0.21995962954167655
4901,0.0386884633432418,103669.0,198166,0.326525848350476,1840.9172470339824,0.0,0.9143440805332442,0.1269530933496996,0.8682385575589459,0.5825242718446602,111478,77439,12967,0.6946572417876173,0.11631891494285868,141033,69692,31271,0.4941538505172548,0.22172824799869534
