czone,gpt_exposure,cz_total_emp
26101,0.31162898808402717,10494
26102,0.3142714995190984,8875
26103,0.3348042407820975,2872
26104,0.31944205509483864,1608
26105,0.3474597074480517,1150
26106,0.3298681647959806,1934
26107,0.33840541778165933,6927
26201,0.3462699535453209,59524
26202,0.345681342775612,247
26203,0.32662211007116193,1024
26204,0.31403173568633863,295
26301,0.31672504964720466,5727
26302,0.3312209912212217,805
26303,0.35510801033963935,3460
26304,0.324911487632134,27347
26305,0.3248823950244291,1375
26401,0.3175103736022072,250
26402,0.31708886247867946,443
26403,0.314472469393533,598
26404,0.34303545466174173,1058
26405,0.33404366033395944,183
26406,0.3313642155995296,2569
26407,0.31509130856009476,509
26408,0.3205573787798758,2006
26409,0.3211050409130765,1958
26410,0.3063623190559617,14631
26411,0.3060493087773254,14382
26412,0.3004500042400909,22130
26501,0.3084127904879883,8559
26502,0.3162981794079527,2624
26503,0.34612458725564743,129151
26504,0.31199932004722075,10805
26601,0.30764752800921236,2560
26602,0.3109983586892765,3020
26603,0.35264466708093783,1669
26604,0.33020792968580337,820
26605,0.32576151201008624,12838
26701,0.3128719256686521,30290
26702,0.3114396082388352,5554
26703,0.3174657199134423,4422
26704,0.33461726524867946,40255
26801,0.3512840040056218,123869
26802,0.30949053124483494,2476
26803,0.3297823062063382,9392
26804,0.34997701745764165,224
26901,0.3103697199961208,37957
26902,0.3134678946787642,13609
27001,0.31245089908770646,2739
27002,0.34586811189468286,1688
27003,0.3420828405358026,990
27004,0.31881923062915074,1464
27005,0.3239248305915393,9478
27006,0.3305974953883928,6639
27007,0.34071716717165745,3646
27008,0.3367578038122947,2767
27009,0.31762752424612817,1747
27010,0.28132221530627977,563
27011,0.3702609882606476,7338
27012,0.32831210300254476,265
27101,0.3179650725952977,24007
27102,0.33224350021419363,12975
27201,0.2802609586536826,19902
27202,0.31131155180295567,10287
27301,0.31189490625163757,14661
27302,0.306801974705336,7666
27401,0.3050859546942887,8913
27402,0.30675802297058086,21774
27501,0.36717255279241534,376088
27502,0.3018111818098889,3869
27503,0.3248980202705212,5476
27504,0.3066736427159793,9126
27601,0.3313590283915717,67133
27602,0.3197648543803671,894
27603,0.3313101846661077,389
27604,0.31429379207316144,55
27605,0.34263318622005545,318
27701,0.3417185143842833,16220
27702,0.33833084960208565,36950
27703,0.3081564935088964,3117
27704,0.3409422726788691,888
27801,0.32875968407274125,17116
27802,0.318926343272297,17095
27901,0.31558396704028147,11844
27902,0.3051875588384738,6473
27903,0.32408891590548233,26449
28001,0.31155884441921294,64631
28002,0.323460274760264,5759
28101,0.354627948138022,171094
28102,0.3287776537273111,7894
28201,0.30386313209951876,6168
28202,0.34943759323730417,444563
28301,0.32068945820142947,8682
28302,0.30504785230741405,3257
28303,0.37036934757276935,192
28304,0.31603531849600036,1757
28305,0.3086310997347209,2203
28306,0.3252158982520922,10000
28401,0.3586145743968775,299423
28402,0.3179932408527565,1374
28501,0.32587624177276003,795
28502,0.32998735188941175,57803
28503,0.33303009548510587,3770
28504,0.31750905149138764,2447
28601,0.35619416452731933,832
28602,0.37317433924447974,1015
28603,0.35236830130719937,1785
28604,0.3205368121424789,4186
28605,0.3294131154622453,1747
28606,0.3168978672615086,731
