"sic","year","emp","pay","prode","prodh","prodw","vship","matcost","vadd","invest","invent","energy","cap","equip","plant","piship","pimat","piinv","pien","dtfp5","tfp5","dtfp4","tfp4","pctnmfg"
3259,1978,5.5,70,4.5,9,55.5,234.8,102.6,138,10.8,47.7,34,369.2,181.1,188.1,0.663999974727631,0.564999997615814,0.663999974727631,0.697000026702881,0.046000000089407,0.876999974250793,0.0410000011324883,0.85699999332428,0
3259,1979,5.2,67.4,4.3,8.5,52.1,203.4,87.4,118.7,4.6,42.4,35.2,361.9,178,183.9,0.708999991416931,0.652999997138977,0.72299998998642,0.837999999523163,-0.0579999983310699,0.827000021934509,-0.0509999990463257,0.814000010490417,0
3259,1980,4.2,58.6,3.5,7,44.2,174,76.5,102.6,2.6,41,37,340.3,164.6,175.7,0.771000027656555,0.782999992370605,0.795000016689301,1.06099998950958,-0.028999999165535,0.804000020027161,-0.0199999995529652,0.797999978065491,0
3259,1981,3.2,47.7,2.6,5.1,36.3,144.7,67.8,81.5,0.7,41.9,34.4,315.9,147.7,168.2,0.839999973773956,0.901000022888184,0.869000017642975,1.12000000476837,-0.0549999997019768,0.760999977588654,-0.0430000014603138,0.764999985694885,0
3259,1982,2.3,35.7,1.8,3.6,27.4,133.6,53.8,77.9,2.3,38.9,25.2,285.3,128.1,157.2,0.862999975681305,0.959999978542328,0.907999992370605,1.2039999961853,0.146999999880791,0.882000029087067,0.141000002622604,0.879999995231628,0
3259,1983,2.2,36.2,1.7,3.6,29,139.7,54.7,87.8,0.9,37.7,27,269.4,119.4,150,0.907999992370605,0.978999972343445,0.920000016689301,1.28199994564056,0.0140000004321337,0.893999993801117,0.0140000004321337,0.89300000667572,0
3259,1984,2.7,47,2.2,4.5,36.4,158.4,70.6,91.6,2.3,43,32.3,261.4,116.1,145.3,0.926999986171722,1.00899994373322,0.926999986171722,1.26699995994568,-0.0270000007003546,0.870999991893768,-0.028999999165535,0.867999970912933,0
3259,1985,2.2,42.4,1.7,3.7,30.3,152.5,60.2,87.6,4.7,42.5,27.5,240.5,103.2,137.3,0.940999984741211,1.02100002765656,0.935999989509583,1.22200000286102,0.0829999968409538,0.945999979972839,0.0850000008940697,0.944999992847443,0
3259,1986,2.3,45.4,1.8,3.7,32,163.8,66.2,97.5,3,43.8,26.6,225.9,95.1,130.8,1.00100004673004,0.998000025749207,0.971000015735626,1.08899998664856,-0.0160000007599592,0.930999994277954,-0.017000000923872,0.929000020027161,0
3259,1987,2.1,44.9,1.7,3.6,32.2,155.2,53.5,99.9,3.9,38.6,25,211.6,87.6,124,1,1,1,1,0.0710000023245811,1,0.0740000009536743,1,0
